Command:,/Users/martin/source/executables/vxtractor.pl -h HMMs/bacteria/ -c testfile.output.csv -o testfile.output.fasta testfile.fasta
Options:,Don't include HMM in fasta
Sequence,V01leftlong,V01leftshort,V01rightlong,V01rightshort,V02leftlong,V02leftshort,V02rightlong,V02rightshort,V03leftlong,V03leftshort,V03rightlong,V03rightshort,V04leftlong,V04leftshort,V04rightlong,V04rightshort,V05leftlong,V05leftshort,V05rightlong,V05rightshort,V06leftlong,V06leftshort,V06rightlong,V06rightshort,V07leftlong,V07leftshort,V07rightlong,V07rightshort,V08leftlong,V08leftshort,V08rightlong,V08rightshort,V09leftlong,V09leftshort,V09rightlong,V09rightshort,V10leftlong,V10leftshort,V10rightlong,V10rightshort,V11leftlong,V11leftshort,V11rightlong,V11rightshort,V12leftlong,V12leftshort,V12rightlong,V12rightshort,V13leftlong,V13leftshort,V13rightlong,V13rightshort,V14leftlong,V14leftshort,V14rightlong,V14rightshort,V15leftlong,V15leftshort,V15rightlong,V15rightshort,V16leftlong,V16leftshort,V16rightlong,V16rightshort,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16
"'CP001050.1956488.1959377","'1-56","'11-56","'188-252","'188-252","'188-252","'188-252","'289-334","'289-334","'289-334","'289-334","'442-502","'442-502","'442-502","'442-502","'663-731","'663-731","'663-731","'663-731","'759-819","'759-819","'759-819","'759-819","'936-1005","'936-1005","'936-1005","'936-1005","'1047-1107","'1047-1107","'1047-1107","'1047-1107","'1226-1281","'1226-1281","'1226-1281","'1226-1281","'1303-1350","'1303-1350","'1303-1350","'1303-1350","'1418-1462","'1418-1462","'1418-1462","'1418-1462","'1662-1699","'1662-1699","'1662-1699","'1662-1699","'1886-1959","'1886-1959","'1886-1959","'1886-1959","'2200-2255","'2200-2255","'2200-2255","'2200-2255","'2373-2422","'2373-2422","'2373-2422","'2373-2422","'2519-2590","'2519-2590","'2519-2590","'2519-2590","'2807-2890","'2807-2870","'57-187","'253-288","'335-441","'503-662","'732-758","'820-935","'1006-1046","'1108-1225","'1282-1302","'1351-1417","'1463-1661","'1700-1885","'1960-2199","'2256-2372","'2423-2518","'2591-2806","'"
"'CP001083.72144.75045","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'325-371","'325-371","'325-371","'325-371","'477-537","'477-537","'477-537","'477-537","'701-769","'701-769","'701-769","'701-769","'798-858","'798-858","'798-858","'798-858","'973-1042","'973-1042","'973-1042","'973-1042","'1084-1145","'1084-1145","'1084-1145","'1084-1145","'1263-1317","'1263-1317","'1263-1317","'1263-1317","'1339-1386","'1339-1386","'1339-1386","'1339-1386","'1460-1503","'1460-1503","'1460-1503","'1460-1503","'1695-1732","'1695-1732","'1695-1732","'1695-1732","'1902-1975","'1902-1975","'1902-1975","'1902-1975","'2217-2272","'2217-2272","'2217-2272","'2217-2272","'2390-2439","'2390-2439","'2390-2439","'2390-2439","'2536-2607","'2536-2607","'2536-2607","'2536-2607","'2820-2902","'2820-2883","'59-189","'255-324","'372-476","'538-700","'770-797","'859-972","'1043-1083","'1146-1262","'1318-1338","'1387-1459","'1504-1694","'1733-1901","'1976-2216","'2273-2389","'2440-2535","'2608-2819","'"
"'CP001127.3465121.3468025","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1229-1284","'1229-1284","'1229-1284","'1229-1284","'1306-1353","'1306-1353","'1306-1353","'1306-1353","'1421-1465","'1421-1465","'1421-1465","'1421-1465","'1665-1702","'1665-1702","'1665-1702","'1665-1702","'1901-1974","'1901-1974","'1901-1974","'1901-1974","'2215-2270","'2215-2270","'2215-2270","'2215-2270","'2388-2437","'2388-2437","'2388-2437","'2388-2437","'2534-2605","'2534-2605","'2534-2605","'2534-2605","'2822-2905","'2822-2885","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1228","'1285-1305","'1354-1420","'1466-1664","'1703-1900","'1975-2214","'2271-2387","'2438-2533","'2606-2821","'"
"'CP001602.265925.268855","'1-58","'13-58","'192-256","'192-256","'192-256","'192-256","'336-382","'336-382","'336-382","'336-382","'488-548","'488-548","'488-548","'488-548","'711-779","'711-779","'711-779","'711-779","'807-867","'807-867","'807-867","'807-867","'983-1052","'983-1052","'983-1052","'983-1052","'1094-1154","'1094-1154","'1094-1154","'1094-1154","'1275-1329","'1275-1329","'1275-1329","'1275-1329","'1351-1398","'1351-1398","'1351-1398","'1351-1398","'1472-1516","'1472-1516","'1472-1516","'1472-1516","'1713-1750","'1713-1750","'1713-1750","'1713-1750","'1933-2006","'1933-2006","'1933-2006","'1933-2006","'2247-2302","'2247-2302","'2247-2302","'2247-2302","'2420-2469","'2420-2469","'2420-2469","'2420-2469","'2566-2637","'2566-2637","'2566-2637","'2566-2637","'2850-2931","'2850-2913","'59-191","'257-335","'383-487","'549-710","'780-806","'868-982","'1053-1093","'1155-1274","'1330-1350","'1399-1471","'1517-1712","'1751-1932","'2007-2246","'2303-2419","'2470-2565","'2638-2849","'"
"'CP001604.2753962.2756892","'1-58","'13-58","'192-256","'192-256","'192-256","'192-256","'336-382","'336-382","'336-382","'336-382","'488-548","'488-548","'488-548","'488-548","'711-779","'711-779","'711-779","'711-779","'807-867","'807-867","'807-867","'807-867","'983-1052","'983-1052","'983-1052","'983-1052","'1094-1154","'1094-1154","'1094-1154","'1094-1154","'1275-1329","'1275-1329","'1275-1329","'1275-1329","'1351-1398","'1351-1398","'1351-1398","'1351-1398","'1472-1516","'1472-1516","'1472-1516","'1472-1516","'1713-1750","'1713-1750","'1713-1750","'1713-1750","'1933-2006","'1933-2006","'1933-2006","'1933-2006","'2247-2302","'2247-2302","'2247-2302","'2247-2302","'2420-2469","'2420-2469","'2420-2469","'2420-2469","'2566-2637","'2566-2637","'2566-2637","'2566-2637","'2850-2931","'2850-2913","'59-191","'257-335","'383-487","'549-710","'780-806","'868-982","'1053-1093","'1155-1274","'1330-1350","'1399-1471","'1517-1712","'1751-1932","'2007-2246","'2303-2419","'2470-2565","'2638-2849","'"
"'CP001607.1916735.1919629","'1-56","'11-56","'188-252","'188-252","'188-252","'188-252","'289-334","'289-334","'289-334","'289-334","'442-503","'442-503","'442-503","'442-503","'661-729","'661-729","'661-729","'661-729","'757-817","'757-817","'757-817","'757-817","'932-1001","'932-1001","'932-1001","'932-1001","'1043-1103","'1043-1103","'1043-1103","'1043-1103","'1224-1279","'1224-1279","'1224-1279","'1224-1279","'1301-1348","'1301-1348","'1301-1348","'1301-1348","'1416-1460","'1416-1460","'1416-1460","'1416-1460","'1660-1697","'1660-1697","'1660-1697","'1660-1697","'1895-1968","'1895-1968","'1895-1968","'1895-1968","'2209-2264","'2209-2264","'2209-2264","'2209-2264","'2382-2431","'2382-2431","'2382-2431","'2382-2431","'2528-2599","'2528-2599","'2528-2599","'2528-2599","'2812-2895","'2812-2875","'57-187","'253-288","'335-441","'504-660","'730-756","'818-931","'1002-1042","'1104-1223","'1280-1300","'1349-1415","'1461-1659","'1698-1894","'1969-2208","'2265-2381","'2432-2527","'2600-2811","'"
"'CP001805.478875.481763","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1034-1094","'1034-1094","'1034-1094","'1034-1094","'1213-1268","'1213-1268","'1213-1268","'1213-1268","'1290-1337","'1290-1337","'1290-1337","'1290-1337","'1405-1449","'1405-1449","'1405-1449","'1405-1449","'1649-1686","'1649-1686","'1649-1686","'1649-1686","'1885-1958","'1885-1958","'1885-1958","'1885-1958","'2199-2254","'2199-2254","'2199-2254","'2199-2254","'2372-2421","'2372-2421","'2372-2421","'2372-2421","'2518-2589","'2518-2589","'2518-2589","'2518-2589","'2806-2889","'2806-2869","'59-187","'253-285","'332-430","'493-652","'722-748","'810-923","'994-1033","'1095-1212","'1269-1289","'1338-1404","'1450-1648","'1687-1884","'1959-2198","'2255-2371","'2422-2517","'2590-2805","'"
"'CP001875.236914.239818","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'441-502","'441-502","'441-502","'441-502","'663-731","'663-731","'663-731","'663-731","'759-819","'759-819","'759-819","'759-819","'935-1004","'935-1004","'935-1004","'935-1004","'1046-1106","'1046-1106","'1046-1106","'1046-1106","'1227-1282","'1227-1282","'1227-1282","'1227-1282","'1304-1351","'1304-1351","'1304-1351","'1304-1351","'1419-1463","'1419-1463","'1419-1463","'1419-1463","'1662-1699","'1662-1699","'1662-1699","'1662-1699","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2820-2903","'2820-2883","'59-189","'255-293","'340-440","'503-662","'732-758","'820-934","'1005-1045","'1107-1226","'1283-1303","'1352-1418","'1464-1661","'1700-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2819","'"
"'CP001903.4719656.4722575","'1-56","'11-56","'190-254","'190-254","'190-254","'190-254","'335-381","'335-381","'335-381","'335-381","'487-547","'487-547","'487-547","'487-547","'709-777","'709-777","'709-777","'709-777","'805-865","'805-865","'805-865","'805-865","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1272-1326","'1272-1326","'1272-1326","'1272-1326","'1348-1395","'1348-1395","'1348-1395","'1348-1395","'1470-1515","'1470-1515","'1470-1515","'1470-1515","'1712-1749","'1712-1749","'1712-1749","'1712-1749","'1921-1994","'1921-1994","'1921-1994","'1921-1994","'2236-2290","'2236-2290","'2236-2290","'2236-2290","'2408-2457","'2408-2457","'2408-2457","'2408-2457","'2554-2625","'2554-2625","'2554-2625","'2554-2625","'2838-2920","'2838-2901","'57-189","'255-334","'382-486","'548-708","'778-804","'866-980","'1051-1091","'1153-1271","'1327-1347","'1396-1469","'1516-1711","'1750-1920","'1995-2235","'2291-2407","'2458-2553","'2626-2837","'"
"'CP001969.3024072.3026975","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'664-732","'664-732","'664-732","'664-732","'760-820","'760-820","'760-820","'760-820","'936-1005","'936-1005","'936-1005","'936-1005","'1047-1107","'1047-1107","'1047-1107","'1047-1107","'1228-1283","'1228-1283","'1228-1283","'1228-1283","'1305-1352","'1305-1352","'1305-1352","'1305-1352","'1420-1464","'1420-1464","'1420-1464","'1420-1464","'1662-1699","'1662-1699","'1662-1699","'1662-1699","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-663","'733-759","'821-935","'1006-1046","'1108-1227","'1284-1304","'1353-1419","'1465-1661","'1700-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
"'CU928145.4421386.4424288","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1229-1284","'1229-1284","'1229-1284","'1229-1284","'1306-1353","'1306-1353","'1306-1353","'1306-1353","'1421-1465","'1421-1465","'1421-1465","'1421-1465","'1663-1700","'1663-1700","'1663-1700","'1663-1700","'1899-1972","'1899-1972","'1899-1972","'1899-1972","'2213-2268","'2213-2268","'2213-2268","'2213-2268","'2386-2435","'2386-2435","'2386-2435","'2386-2435","'2532-2603","'2532-2603","'2532-2603","'2532-2603","'2820-2903","'2820-2883","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1228","'1285-1305","'1354-1420","'1466-1662","'1701-1898","'1973-2212","'2269-2385","'2436-2531","'2604-2819","'"
"'CU928145.4599881.4602784","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1230-1285","'1230-1285","'1230-1285","'1230-1285","'1307-1354","'1307-1354","'1307-1354","'1307-1354","'1422-1466","'1422-1466","'1422-1466","'1422-1466","'1664-1701","'1664-1701","'1664-1701","'1664-1701","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1229","'1286-1306","'1355-1421","'1467-1663","'1702-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
"'CU928160.2793337.2796240","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1230-1285","'1230-1285","'1230-1285","'1230-1285","'1307-1354","'1307-1354","'1307-1354","'1307-1354","'1422-1466","'1422-1466","'1422-1466","'1422-1466","'1664-1701","'1664-1701","'1664-1701","'1664-1701","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1229","'1286-1306","'1355-1421","'1467-1663","'1702-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
"'DD001172.2462.5351","'1-56","'11-56","'188-252","'188-252","'188-252","'188-252","'289-334","'289-334","'289-334","'289-334","'442-502","'442-502","'442-502","'442-502","'663-731","'663-731","'663-731","'663-731","'759-819","'759-819","'759-819","'759-819","'936-1005","'936-1005","'936-1005","'936-1005","'1047-1107","'1047-1107","'1047-1107","'1047-1107","'1226-1281","'1226-1281","'1226-1281","'1226-1281","'1303-1350","'1303-1350","'1303-1350","'1303-1350","'1418-1462","'1418-1462","'1418-1462","'1418-1462","'1662-1699","'1662-1699","'1662-1699","'1662-1699","'1886-1959","'1886-1959","'1886-1959","'1886-1959","'2200-2255","'2200-2255","'2200-2255","'2200-2255","'2373-2422","'2373-2422","'2373-2422","'2373-2422","'2519-2590","'2519-2590","'2519-2590","'2519-2590","'2807-2890","'2807-2870","'57-187","'253-288","'335-441","'503-662","'732-758","'820-935","'1006-1046","'1108-1225","'1282-1302","'1351-1417","'1463-1661","'1700-1885","'1960-2199","'2256-2372","'2423-2518","'2591-2806","'"
"'DL081578.210982.213901","'1-48","'3-48","'182-246","'182-246","'182-246","'182-246","'326-372","'326-372","'326-372","'326-372","'478-538","'478-538","'478-538","'478-538","'701-769","'701-769","'701-769","'701-769","'797-857","'797-857","'797-857","'797-857","'973-1042","'973-1042","'973-1042","'973-1042","'1084-1144","'1084-1144","'1084-1144","'1084-1144","'1265-1319","'1265-1319","'1265-1319","'1265-1319","'1341-1388","'1341-1388","'1341-1388","'1341-1388","'1462-1506","'1462-1506","'1462-1506","'1462-1506","'1703-1740","'1703-1740","'1703-1740","'1703-1740","'1923-1996","'1923-1996","'1923-1996","'1923-1996","'2237-2292","'2237-2292","'2237-2292","'2237-2292","'2410-2459","'2410-2459","'2410-2459","'2410-2459","'2556-2627","'2556-2627","'2556-2627","'2556-2627","'2840-2920","'2840-2903","'49-181","'247-325","'373-477","'539-700","'770-796","'858-972","'1043-1083","'1145-1264","'1320-1340","'1389-1461","'1507-1702","'1741-1922","'1997-2236","'2293-2409","'2460-2555","'2628-2839","'"
"'DM055038.2180.5081","'1-56","'11-56","'188-252","'188-252","'188-252","'188-252","'292-337","'292-337","'292-337","'292-337","'440-501","'440-501","'440-501","'440-501","'662-730","'662-730","'662-730","'662-730","'758-818","'758-818","'758-818","'758-818","'934-1003","'934-1003","'934-1003","'934-1003","'1045-1105","'1045-1105","'1045-1105","'1045-1105","'1226-1281","'1226-1281","'1226-1281","'1226-1281","'1303-1350","'1303-1350","'1303-1350","'1303-1350","'1418-1462","'1418-1462","'1418-1462","'1418-1462","'1660-1697","'1660-1697","'1660-1697","'1660-1697","'1898-1971","'1898-1971","'1898-1971","'1898-1971","'2212-2267","'2212-2267","'2212-2267","'2212-2267","'2385-2434","'2385-2434","'2385-2434","'2385-2434","'2531-2602","'2531-2602","'2531-2602","'2531-2602","'2819-2902","'2819-2882","'57-187","'253-291","'338-439","'502-661","'731-757","'819-933","'1004-1044","'1106-1225","'1282-1302","'1351-1417","'1463-1659","'1698-1897","'1972-2211","'2268-2384","'2435-2530","'2603-2818","'"
"'EA414766.322.3229","'1-56","'11-56","'188-252","'188-252","'188-252","'188-252","'292-337","'292-337","'292-337","'292-337","'440-501","'440-501","'440-501","'440-501","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1230-1285","'1230-1285","'1230-1285","'1230-1285","'1307-1354","'1307-1354","'1307-1354","'1307-1354","'1422-1466","'1422-1466","'1422-1466","'1422-1466","'1667-1704","'1667-1704","'1667-1704","'1667-1704","'1904-1977","'1904-1977","'1904-1977","'1904-1977","'2218-2273","'2218-2273","'2218-2273","'2218-2273","'2391-2440","'2391-2440","'2391-2440","'2391-2440","'2537-2608","'2537-2608","'2537-2608","'2537-2608","'2825-2908","'2825-2888","'57-187","'253-291","'338-439","'502-664","'734-760","'822-936","'1007-1047","'1109-1229","'1286-1306","'1355-1421","'1467-1666","'1705-1903","'1978-2217","'2274-2390","'2441-2536","'2609-2824","'"
"'FM178379.475688.478578","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1035-1095","'1035-1095","'1035-1095","'1035-1095","'1215-1270","'1215-1270","'1215-1270","'1215-1270","'1292-1339","'1292-1339","'1292-1339","'1292-1339","'1407-1451","'1407-1451","'1407-1451","'1407-1451","'1651-1688","'1651-1688","'1651-1688","'1651-1688","'1887-1960","'1887-1960","'1887-1960","'1887-1960","'2201-2256","'2201-2256","'2201-2256","'2201-2256","'2374-2423","'2374-2423","'2374-2423","'2374-2423","'2520-2591","'2520-2591","'2520-2591","'2520-2591","'2808-2891","'2808-2871","'59-187","'253-285","'332-430","'493-652","'722-748","'810-923","'994-1034","'1096-1214","'1271-1291","'1340-1406","'1452-1650","'1689-1886","'1961-2200","'2257-2373","'2424-2519","'2592-2807","'"
"'FN257753.1.2914","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'288-333","'288-333","'288-333","'288-333","'432-493","'432-493","'432-493","'432-493","'655-723","'655-723","'655-723","'655-723","'751-811","'751-811","'751-811","'751-811","'926-995","'926-995","'926-995","'926-995","'1037-1097","'1037-1097","'1037-1097","'1037-1097","'1216-1271","'1216-1271","'1216-1271","'1216-1271","'1293-1340","'1293-1340","'1293-1340","'1293-1340","'1408-1452","'1408-1452","'1408-1452","'1408-1452","'1652-1689","'1652-1689","'1652-1689","'1652-1689","'1889-1962","'1889-1962","'1889-1962","'1889-1962","'2203-2258","'2203-2258","'2203-2258","'2203-2258","'2376-2425","'2376-2425","'2376-2425","'2376-2425","'2522-2593","'2522-2593","'2522-2593","'2522-2593","'2810-2893","'2810-2873","'59-189","'255-287","'334-431","'494-654","'724-750","'812-925","'996-1036","'1098-1215","'1272-1292","'1341-1407","'1453-1651","'1690-1888","'1963-2202","'2259-2375","'2426-2521","'2594-2809","'"
"'FN597254.251864.254760","'1-56","'11-56","'184-248","'184-248","'184-248","'184-248","'321-366","'321-366","'321-366","'321-366","'472-532","'472-532","'472-532","'472-532","'695-763","'695-763","'695-763","'695-763","'791-851","'791-851","'791-851","'791-851","'967-1036","'967-1036","'967-1036","'967-1036","'1078-1139","'1078-1139","'1078-1139","'1078-1139","'1254-1308","'1254-1308","'1254-1308","'1254-1308","'1330-1377","'1330-1377","'1330-1377","'1330-1377","'1445-1490","'1445-1490","'1445-1490","'1445-1490","'1689-1726","'1689-1726","'1689-1726","'1689-1726","'1897-1970","'1897-1970","'1897-1970","'1897-1970","'2211-2266","'2211-2266","'2211-2266","'2211-2266","'2384-2433","'2384-2433","'2384-2433","'2384-2433","'2530-2601","'2530-2601","'2530-2601","'2530-2601","'2815-2897","'2815-2878","'57-183","'249-320","'367-471","'533-694","'764-790","'852-966","'1037-1077","'1140-1253","'1309-1329","'1378-1444","'1491-1688","'1727-1896","'1971-2210","'2267-2383","'2434-2529","'2602-2814","'"
"'FN668941.3952839.3955724","'1-48","'3-48","'181-244","'181-244","'181-244","'181-244","'318-364","'318-364","'318-364","'318-364","'469-528","'469-528","'469-528","'469-528","'693-761","'693-761","'693-761","'693-761","'789-849","'789-849","'789-849","'789-849","'962-1031","'962-1031","'962-1031","'962-1031","'1073-1134","'1073-1134","'1073-1134","'1073-1134","'1248-1301","'1248-1301","'1248-1301","'1248-1301","'1323-1370","'1323-1370","'1323-1370","'1323-1370","'1444-1488","'1444-1488","'1444-1488","'1444-1488","'1685-1722","'1685-1722","'1685-1722","'1685-1722","'1892-1965","'1892-1965","'1892-1965","'1892-1965","'2207-2262","'2207-2262","'2207-2262","'2207-2262","'2380-2429","'2380-2429","'2380-2429","'2380-2429","'2526-2597","'2526-2597","'2526-2597","'2526-2597","'2806-2886","'2806-2869","'49-180","'245-317","'365-468","'529-692","'762-788","'850-961","'1032-1072","'1135-1247","'1302-1322","'1371-1443","'1489-1684","'1723-1891","'1966-2206","'2263-2379","'2430-2525","'2598-2805","'"
"'FV536115.11000.13890","'1-48","'3-48","'180-244","'180-244","'180-244","'180-244","'315-361","'315-361","'315-361","'315-361","'467-527","'467-527","'467-527","'467-527","'691-759","'691-759","'691-759","'691-759","'788-848","'788-848","'788-848","'788-848","'963-1031","'963-1031","'963-1031","'963-1031","'1074-1135","'1074-1135","'1074-1135","'1074-1135","'1253-1307","'1253-1307","'1253-1307","'1253-1307","'1329-1376","'1329-1376","'1329-1376","'1329-1376","'1450-1493","'1450-1493","'1450-1493","'1450-1493","'1685-1722","'1685-1722","'1685-1722","'1685-1722","'1892-1965","'1892-1965","'1892-1965","'1892-1965","'2207-2262","'2207-2262","'2207-2262","'2207-2262","'2380-2429","'2380-2429","'2380-2429","'2380-2429","'2526-2597","'2526-2597","'2526-2597","'2526-2597","'2810-2891","'2810-2873","'49-179","'245-314","'362-466","'528-690","'760-787","'849-962","'1032-1073","'1136-1252","'1308-1328","'1377-1449","'1494-1684","'1723-1891","'1966-2206","'2263-2379","'2430-2525","'2598-2809","'"
"'L42023.1816845.1819741","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'291-336","'291-336","'291-336","'291-336","'444-505","'444-505","'444-505","'444-505","'667-735","'667-735","'667-735","'667-735","'763-823","'763-823","'763-823","'763-823","'938-1007","'938-1007","'938-1007","'938-1007","'1049-1109","'1049-1109","'1049-1109","'1049-1109","'1230-1285","'1230-1285","'1230-1285","'1230-1285","'1307-1354","'1307-1354","'1307-1354","'1307-1354","'1422-1466","'1422-1466","'1422-1466","'1422-1466","'1666-1703","'1666-1703","'1666-1703","'1666-1703","'1901-1974","'1901-1974","'1901-1974","'1901-1974","'2215-2270","'2215-2270","'2215-2270","'2215-2270","'2388-2437","'2388-2437","'2388-2437","'2388-2437","'2534-2605","'2534-2605","'2534-2605","'2534-2605","'2818-2893","'2818-2881","'59-189","'255-290","'337-443","'506-666","'736-762","'824-937","'1008-1048","'1110-1229","'1286-1306","'1355-1421","'1467-1665","'1704-1900","'1975-2214","'2271-2387","'2438-2533","'2606-2817","'"
"'X87294.1.2888","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'654-722","'654-722","'654-722","'654-722","'750-810","'750-810","'750-810","'750-810","'925-994","'925-994","'925-994","'925-994","'1035-1095","'1035-1095","'1035-1095","'1035-1095","'1214-1269","'1214-1269","'1214-1269","'1214-1269","'1291-1338","'1291-1338","'1291-1338","'1291-1338","'1406-1450","'1406-1450","'1406-1450","'1406-1450","'1650-1687","'1650-1687","'1650-1687","'1650-1687","'1884-1957","'1884-1957","'1884-1957","'1884-1957","'2198-2253","'2198-2253","'2198-2253","'2198-2253","'2371-2420","'2371-2420","'2371-2420","'2371-2420","'2517-2588","'2517-2588","'2517-2588","'2517-2588","'2805-2888","'2805-2868","'59-187","'253-285","'332-430","'493-653","'723-749","'811-924","'995-1034","'1096-1213","'1270-1290","'1339-1405","'1451-1649","'1688-1883","'1958-2197","'2254-2370","'2421-2516","'2589-2804","'"
